id,email,display_name,timezone,locale,default_calendar_id,staff_role,staff_sort_order,is_calendar_admin,is_active,created_at,updated_at
17186a90-a955-59dd-9335-3daf01ed3fda,principal@demo.open-hoikuict.example,園長,Asia/Tokyo,ja-JP,55d4cc52-e8c4-5690-92b1-9392c8b793bb,admin,10,true,true,2026-04-01T09:00:00,2026-05-15T09:00:00
eb8202ba-5891-57ca-b896-956afa15a0c9,chief@demo.open-hoikuict.example,主任,Asia/Tokyo,ja-JP,36f1dcfe-0792-5733-b642-d1054f5a6b25,admin,20,true,true,2026-04-01T09:00:00,2026-05-15T09:00:00
eaacfa95-c047-5d4e-95fd-1b162f4bbd83,nurse@demo.open-hoikuict.example,看護師,Asia/Tokyo,ja-JP,44b1e47a-f1b8-5cca-9cca-0c162e6140f8,can_edit,30,false,true,2026-04-01T09:00:00,2026-05-15T09:00:00
a022f079-46a5-5204-9eb7-6fa27f52bfa3,nutritionist@demo.open-hoikuict.example,栄養士,Asia/Tokyo,ja-JP,94bbe877-4317-5461-b23a-02f6eadcd6b6,can_edit,35,false,true,2026-04-01T09:00:00,2026-05-15T09:00:00
5bec5b32-c2b5-519c-ac01-17b026ef0f59,office@demo.open-hoikuict.example,事務,Asia/Tokyo,ja-JP,ecdf0f22-b3b6-5456-9eae-969d114e52f8,can_edit,40,false,true,2026-04-01T09:00:00,2026-05-15T09:00:00
edb3efb0-19d8-5693-9b1d-6550e399c4f8,teacher-1-a@demo.open-hoikuict.example,ひよこ組担任A,Asia/Tokyo,ja-JP,f8bd76bf-a38a-503f-b121-6da75dc38bd5,can_edit,60,false,true,2026-04-01T09:00:00,2026-05-15T09:00:00
a0b741d3-2ed8-54d4-bd0f-5eef56885dd9,teacher-1-b@demo.open-hoikuict.example,ひよこ組担任B,Asia/Tokyo,ja-JP,b103ba6d-479f-5710-88c8-81755b94b78f,can_edit,61,false,true,2026-04-01T09:00:00,2026-05-15T09:00:00
688aec13-c2c0-5752-bbd3-1f8555f07443,teacher-2-a@demo.open-hoikuict.example,りす組担任A,Asia/Tokyo,ja-JP,17ed9907-d3cf-5816-a43d-0131b792b37c,can_edit,70,false,true,2026-04-01T09:00:00,2026-05-15T09:00:00
5936311f-9b69-55f8-ba65-1dfbf5ee17fc,teacher-2-b@demo.open-hoikuict.example,りす組担任B,Asia/Tokyo,ja-JP,742f8dfc-552e-52e0-96a5-bc1d84b5c41a,can_edit,71,false,true,2026-04-01T09:00:00,2026-05-15T09:00:00
062b0a9b-d533-5abd-ab10-60d8da1ef807,teacher-3-a@demo.open-hoikuict.example,うさぎ組担任A,Asia/Tokyo,ja-JP,7ce32af2-9eec-544e-8a1d-1c947c1d3511,can_edit,80,false,true,2026-04-01T09:00:00,2026-05-15T09:00:00
eee9c8b6-3e8f-5145-bfa7-d3c5461525ff,teacher-3-b@demo.open-hoikuict.example,うさぎ組担任B,Asia/Tokyo,ja-JP,e2beec5a-1350-5abf-83e4-5bb845338b52,can_edit,81,false,true,2026-04-01T09:00:00,2026-05-15T09:00:00
9ac4ed99-458b-5ab8-8b27-c64802b53f37,teacher-4-a@demo.open-hoikuict.example,ぱんだ組担任A,Asia/Tokyo,ja-JP,fedd5140-c2e4-5a85-bee5-438a7e53016d,can_edit,90,false,true,2026-04-01T09:00:00,2026-05-15T09:00:00
357005f2-15d9-54df-8727-00961f450f52,teacher-4-b@demo.open-hoikuict.example,ぱんだ組担任B,Asia/Tokyo,ja-JP,17d68ff6-f219-512c-9748-511a35008361,can_edit,91,false,true,2026-04-01T09:00:00,2026-05-15T09:00:00
2443aeda-8773-5c11-a3cc-0f44b4b8a4e8,teacher-5-a@demo.open-hoikuict.example,きりん組担任A,Asia/Tokyo,ja-JP,23f84783-ec2b-5f5c-876c-f1bfa10e06c5,can_edit,100,false,true,2026-04-01T09:00:00,2026-05-15T09:00:00
31480726-885a-5e9e-bd73-74aefc27f2ea,teacher-5-b@demo.open-hoikuict.example,きりん組担任B,Asia/Tokyo,ja-JP,231ce40a-f344-542a-b473-e15708e87c41,can_edit,101,false,true,2026-04-01T09:00:00,2026-05-15T09:00:00
50b524a0-f6d1-5c88-b2e5-118af2fd1c8f,teacher-6-a@demo.open-hoikuict.example,ぞう組担任A,Asia/Tokyo,ja-JP,6feb69ad-3994-5524-8e90-d5a688a22043,can_edit,110,false,true,2026-04-01T09:00:00,2026-05-15T09:00:00
7e44b14f-993b-5155-8697-ca3b0444d19f,teacher-6-b@demo.open-hoikuict.example,ぞう組担任B,Asia/Tokyo,ja-JP,43f76a23-4329-5208-a37d-5e520c90699c,can_edit,111,false,true,2026-04-01T09:00:00,2026-05-15T09:00:00
e053a1d1-7987-5d17-83f2-f90d77568479,part-1@demo.open-hoikuict.example,早番パート,Asia/Tokyo,ja-JP,a447afe4-2b98-543d-a3d3-badcbaeddaf4,view_only,150,false,true,2026-04-01T09:00:00,2026-05-15T09:00:00
1e44d21e-adb7-5e9b-bb9a-f2bd8c983aad,part-2@demo.open-hoikuict.example,遅番パート,Asia/Tokyo,ja-JP,129f1e48-94a6-54b0-8d76-68343d6906cb,view_only,151,false,true,2026-04-01T09:00:00,2026-05-15T09:00:00
